First_Day,First_Day_Date,New York_Optimal_Second_Day,New York_Optimal_Second_Date,New York_Optimal_Value,New York_Day183_Second_Day,New York_Day183_Second_Date,New York_Day183_Value,New York 2024_Optimal_Second_Day,New York 2024_Optimal_Second_Date,New York 2024_Optimal_Value,New York 2024_Day183_Second_Day,New York 2024_Day183_Second_Date,New York 2024_Day183_Value,"Stockholm, Sweden_Optimal_Second_Day","Stockholm, Sweden_Optimal_Second_Date","Stockholm, Sweden_Optimal_Value","Stockholm, Sweden_Day183_Second_Day","Stockholm, Sweden_Day183_Second_Date","Stockholm, Sweden_Day183_Value","Guangzhou, China_Optimal_Second_Day","Guangzhou, China_Optimal_Second_Date","Guangzhou, China_Optimal_Value","Guangzhou, China_Day183_Second_Day","Guangzhou, China_Day183_Second_Date","Guangzhou, China_Day183_Value","Edinburgh, UK_Optimal_Second_Day","Edinburgh, UK_Optimal_Second_Date","Edinburgh, UK_Optimal_Value","Edinburgh, UK_Day183_Second_Day","Edinburgh, UK_Day183_Second_Date","Edinburgh, UK_Day183_Value","Beersheba, Israel_Optimal_Second_Day","Beersheba, Israel_Optimal_Second_Date","Beersheba, Israel_Optimal_Value","Beersheba, Israel_Day183_Second_Day","Beersheba, Israel_Day183_Second_Date","Beersheba, Israel_Day183_Value",Nepal_Optimal_Second_Day,Nepal_Optimal_Second_Date,Nepal_Optimal_Value,Nepal_Day183_Second_Day,Nepal_Day183_Second_Date,Nepal_Day183_Value,"Amsterdam, Netherlands_Optimal_Second_Day","Amsterdam, Netherlands_Optimal_Second_Date","Amsterdam, Netherlands_Optimal_Value","Amsterdam, Netherlands_Day183_Second_Day","Amsterdam, Netherlands_Day183_Second_Date","Amsterdam, Netherlands_Day183_Value","Trondelag, Norway_Optimal_Second_Day","Trondelag, Norway_Optimal_Second_Date","Trondelag, Norway_Optimal_Value","Trondelag, Norway_Day183_Second_Day","Trondelag, Norway_Day183_Second_Date","Trondelag, Norway_Day183_Value",South Korea_Optimal_Second_Day,South Korea_Optimal_Second_Date,South Korea_Optimal_Value,South Korea_Day183_Second_Day,South Korea_Day183_Second_Date,South Korea_Day183_Value,"Gothenburg, Sweden_Optimal_Second_Day","Gothenburg, Sweden_Optimal_Second_Date","Gothenburg, Sweden_Optimal_Value","Gothenburg, Sweden_Day183_Second_Day","Gothenburg, Sweden_Day183_Second_Date","Gothenburg, Sweden_Day183_Value","Yamagata, Japan_Optimal_Second_Day","Yamagata, Japan_Optimal_Second_Date","Yamagata, Japan_Optimal_Value","Yamagata, Japan_Day183_Second_Day","Yamagata, Japan_Day183_Second_Date","Yamagata, Japan_Day183_Value"
11,01/11,243.0,08/30,0.9982041006653481,194,07/12,0.9974844929265314,181.0,06/29,0.9971677312629154,194,07/12,0.9970917484015155,264.0,09/20,0.9984739624422707,194,07/12,0.9975610715311982,246.0,09/02,0.9982786827722185,194,07/12,0.9974989098408817,246.0,09/02,0.9987810469794617,194,07/12,0.9978354385775354,206.0,07/24,0.9978534961858097,194,07/12,0.9976709943099995,212.0,07/30,0.9980728510122729,194,07/12,0.9978762636918219,202.0,07/20,0.9975734799979621,194,07/12,0.9975536802740543,246.0,09/02,0.9982786827722185,194,07/12,0.9974989098408817,260.0,09/16,0.9983707086652258,194,07/12,0.996991930925528,245.0,09/01,0.9979614189467458,194,07/12,0.9975484835106644,225.0,08/12,0.9982112436776969,194,07/12,0.99813702096785
12,01/12,244.0,08/31,0.9982042839397106,195,07/13,0.9974779049527501,182.0,06/30,0.9971677903057665,195,07/13,0.9970897328077455,265.0,09/21,0.9984873504513073,195,07/13,0.9975596760167719,247.0,09/03,0.9982860209146691,195,07/13,0.9975006450270226,247.0,09/03,0.9987881552640959,195,07/13,0.9978491598725878,206.0,07/24,0.997868090512871,195,07/13,0.9977024461225229,212.0,07/30,0.9980652938777917,195,07/13,0.9978731729435613,203.0,07/21,0.9975782575422227,195,07/13,0.9975574567709331,247.0,09/03,0.9982860209146691,195,07/13,0.9975006450270226,261.0,09/17,0.9983795661117137,195,07/13,0.9970073592882117,246.0,09/02,0.9979700167731103,195,07/13,0.997538024865009,227.0,08/14,0.9982109426835549,195,07/13,0.9981175487863798
13,01/13,245.0,09/01,0.9982044434022697,196,07/14,0.997471463606388,183.0,07/01,0.9971679269776036,196,07/14,0.9970878035510276,265.0,09/21,0.9985004084982273,196,07/14,0.9975583152516093,248.0,09/04,0.9982932147218712,196,07/14,0.9975023816918419,248.0,09/04,0.9987950406463335,196,07/14,0.9978626576946584,206.0,07/24,0.9978821543821633,196,07/14,0.997733455405598,212.0,07/30,0.9980568878769678,196,07/14,0.9978701040527123,205.0,07/23,0.997583055183617,196,07/14,0.9975611856538595,248.0,09/04,0.9982932147218712,196,07/14,0.9975023816918419,261.0,09/17,0.9983891097679481,196,07/14,0.9970226667339701,248.0,09/04,0.9979786360095958,196,07/14,0.9975277371864957,228.0,08/15,0.9982108547761602,196,07/14,0.998098299705051
14,01/14,246.0,09/02,0.9982045791666659,197,07/15,0.9974651677533607,184.0,07/02,0.9971681279986903,197,07/15,0.9970859595900452,266.0,09/22,0.9985130366765881,197,07/15,0.9975569891556828,249.0,09/05,0.998300265592746,197,07/15,0.9975041206039073,249.0,09/05,0.9988017063690975,197,07/15,0.9978759356392289,206.0,07/24,0.9978956873855543,197,07/15,0.9977640251419908,213.0,07/31,0.9980480201526037,197,07/15,0.9978670587945737,206.0,07/24,0.9975879645089659,197,07/15,0.9975648673831015,249.0,09/05,0.998300265592746,197,07/15,0.9975041206039073,262.0,09/18,0.998397747289048,197,07/15,0.9970378541704221,249.0,09/05,0.9979872605271792,197,07/15,0.9975176203379854,230.0,08/17,0.9982109536855582,197,07/15,0.9980792732002166
15,01/15,247.0,09/03,0.9982046912448241,198,07/16,0.9974590162575383,185.0,07/03,0.9971683927542504,198,07/16,0.997084199932989,267.0,09/23,0.9985252246040884,198,07/16,0.9975556975220792,250.0,09/06,0.9983071749431005,198,07/16,0.9975058624488753,249.0,09/05,0.9988081567983254,198,07/16,0.997888997201351,206.0,07/24,0.9979086892458748,198,07/16,0.9977941583671842,215.0,08/02,0.9980393538048709,198,07/16,0.9978640387913317,207.0,07/25,0.9975928663252941,198,07/16,0.99756850238786,250.0,09/06,0.9983071749431005,198,07/16,0.9975058624488753,262.0,09/18,0.9984061951002264,198,07/16,0.9970529224399015,251.0,09/07,0.9979959216699449,198,07/16,0.9975076739373282,233.0,08/20,0.9982113667783215,198,07/16,0.9980604686013141
16,01/16,248.0,09/04,0.9982047796663194,199,07/17,0.9974530079099349,185.0,07/03,0.9971688212215128,199,07/17,0.9970825234568053,268.0,09/24,0.9985369719977533,199,07/17,0.9975544402726589,252.0,09/08,0.9983139522275012,199,07/17,0.9975076078714343,250.0,09/06,0.9988143983551332,199,07/17,0.99790184578807,206.0,07/24,0.9979211598141667,199,07/17,0.9978238581738531,216.0,08/03,0.9980309174560289,199,07/17,0.9978610455898016,208.0,07/26,0.9975977605952291,199,07/17,0.9975720911391992,252.0,09/08,0.9983139522275012,199,07/17,0.9975076078714343,262.0,09/18,0.9984141455166711,199,07/17,0.9970678723521419,252.0,09/08,0.9980045690007193,199,07/17,0.9974978976661069,235.0,08/22,0.9982125890843154,199,07/17,0.9980418852535193
17,01/17,249.0,09/05,0.9982048445112722,200,07/18,0.9974471415055849,186.0,07/04,0.9971693748316631,200,07/18,0.9970809291317948,268.0,09/24,0.9985484145397518,200,07/18,0.997553217188453,253.0,09/09,0.9983206107271478,200,07/18,0.9975093574087907,251.0,09/07,0.9988204312331724,200,07/18,0.997914484692311,206.0,07/24,0.9979330990456378,200,07/18,0.9978531276844445,217.0,08/04,0.9980225855723357,200,07/18,0.9978580805928493,210.0,07/28,0.9976027363941397,200,07/18,0.9975756340560272,253.0,09/09,0.9983206107271478,200,07/18,0.9975093574087907,262.0,09/18,0.9984215983239705,200,07/18,0.9970827046325934,254.0,09/10,0.9980132494575051,200,07/18,0.9974882909939019,246.0,09/02,0.9982151105926671,200,07/18,0.9980235223774395
18,01/18,250.0,09/06,0.9982048858831258,201,07/19,0.9974414157896991,187.0,07/05,0.997169988158772,201,07/19,0.9970794158913672,269.0,09/25,0.9985594229123111,201,07/19,0.9975520280670286,254.0,09/10,0.9983271306590031,201,07/19,0.9975111115419445,252.0,09/08,0.9988262584761821,201,07/19,0.9979269170868177,206.0,07/24,0.99794450699405,201,07/19,0.9978819701027397,219.0,08/06,0.9980145312158565,201,07/19,0.9978551450589038,211.0,07/29,0.9976077487330919,201,07/19,0.9975791315637708,254.0,09/10,0.9983271306590031,201,07/19,0.9975111115419445,263.0,09/19,0.9984287354635804,201,07/19,0.9970974199904463,255.0,09/11,0.9980219146851406,201,07/19,0.997478853307692,247.0,09/03,0.9982216189537524,201,07/19,0.9980053791369858
19,01/19,252.0,09/08,0.9982049243752892,202,07/20,0.9974358294664214,188.0,07/06,0.9971706604115338,202,07/20,0.9970779826389151,269.0,09/25,0.9985698902729506,202,07/20,0.9975508727137787,255.0,09/11,0.9983335136805891,202,07/20,0.997512870709049,253.0,09/09,0.9988318831802426,202,07/20,0.9979391460551269,207.0,07/25,0.9979545214961527,202,07/20,0.9979103887781744,220.0,08/07,0.998006608146318,202,07/20,0.9978522400897936,213.0,07/31,0.9976131498960193,202,07/20,0.9975825841008119,255.0,09/11,0.9983335136805891,202,07/20,0.997512870709049,263.0,09/19,0.9984355920147868,202,07/20,0.9971120191468509,257.0,09/13,0.9980305908283478,202,07/20,0.9974695838717841,249.0,09/05,0.9982281177246697,202,07/20,0.9979874546245265
20,01/20,253.0,09/09,0.99820495478395,203,07/21,0.997430334755938,189.0,07/07,0.9971713908032567,203,07/21,0.9970778295693205,269.0,09/25,0.9985796821841993,203,07/21,0.9975498326165604,256.0,09/12,0.998339761406844,203,07/21,0.9975148277475568,254.0,09/10,0.9988373083758291,203,07/21,0.9979512902063024,207.0,07/25,0.9979657819681013,203,07/21,0.9979354345176759,222.0,08/09,0.997998819356824,203,07/21,0.997848828302759,214.0,08/01,0.9976184905830996,203,07/21,0.9975860455793363,256.0,09/12,0.998339761406844,203,07/21,0.9975148277475568,263.0,09/19,0.9984419521305369,203,07/21,0.9971265073260801,258.0,09/14,0.9980392680381006,203,07/21,0.997460521916634,250.0,09/06,0.9982345899279971,203,07/21,0.9979701737676947
21,01/21,254.0,09/10,0.9982049610516547,204,07/22,0.9974249303623651,190.0,07/08,0.9971721784776186,204,07/22,0.9970789518904714,270.0,09/26,0.9985886460944401,204,07/22,0.9975489074797519,257.0,09/13,0.9983458754851937,204,07/22,0.9975169827956294,255.0,09/11,0.9988425370758007,204,07/22,0.99796335237407,207.0,07/25,0.9979756587814547,204,07/22,0.9979571185252765,223.0,08/10,0.9979912936190666,204,07/22,0.9978449111573012,215.0,08/02,0.9976237564483399,204,07/22,0.9975895163174294,257.0,09/13,0.9983458754851937,204,07/22,0.9975169827956294,263.0,09/19,0.9984478152339921,204,07/22,0.9971408851106672,260.0,09/16,0.9980479157497487,204,07/22,0.997451666475304,252.0,09/08,0.9982410913056313,204,07/22,0.9979535350224678
22,01/22,255.0,09/11,0.9982049434485719,205,07/23,0.9974196149820861,190.0,07/08,0.997173161558546,205,07/23,0.9970813448502552,270.0,09/26,0.998597296233373,205,07/23,0.9975480969669583,258.0,09/14,0.9983518574846806,205,07/23,0.9975193359201496,256.0,09/12,0.9988475721723333,205,07/23,0.9979753353054684,207.0,07/25,0.9979850051609126,205,07/23,0.9979754520911157,224.0,08/11,0.9979838686221356,205,07/23,0.9978404900422659,216.0,08/03,0.9976289478374953,205,07/23,0.9975929966319199,258.0,09/14,0.9983518574846806,205,07/23,0.9975193359201496,264.0,09/20,0.9984534820347057,205,07/23,0.9971551530246627,260.0,09/16,0.9980563947713336,205,07/23,0.997443016487656,253.0,09/09,0.9982475170807721,205,07/23,0.9979375368079032
23,01/23,256.0,09/12,0.9982049022527706,206,07/24,0.9974143832965088,191.0,07/09,0.9971742168100683,206,07/24,0.9970850012718532,271.0,09/27,0.9986056969198195,206,07/24,0.9975474004203733,259.0,09/15,0.9983577090257119,206,07/24,0.9975218866131138,257.0,09/13,0.9988524166121504,206,07/24,0.9979872410288505,208.0,07/26,0.9979938981964639,206,07/24,0.9979904454657743,226.0,08/13,0.9979765994091295,206,07/24,0.9978355658683089,217.0,08/04,0.9976340651475458,206,07/24,0.9975964862560579,259.0,09/15,0.9983577090257119,206,07/24,0.9975218866131138,264.0,09/20,0.9984587562751451,206,07/24,0.9971693100179729,260.0,09/16,0.9980641177033244,206,07/24,0.9974345694420483,255.0,09/11,0.9982540184816402,206,07/24,0.9979221765784948
24,01/24,257.0,09/13,0.998204837750086,207,07/25,0.9974092302891474,192.0,07/10,0.9971753252526204,207,07/25,0.9970899141782847,271.0,09/27,0.9986132761906445,207,07/25,0.9975468171517865,260.0,09/16,0.9983634316772662,207,07/25,0.9975246343002993,258.0,09/14,0.9988570732829957,207,07/25,0.9979990714962933,208.0,07/26,0.9980024391068236,207,07/25,0.998002108912708,227.0,08/14,0.9979695575125349,207,07/25,0.997830139535277,218.0,08/05,0.9976391087666309,207,07/25,0.9975999849455959,260.0,09/16,0.9983634316772662,207,07/25,0.9975246343002993,264.0,09/20,0.9984635336398816,207,07/25,0.9971833549774626,261.0,09/17,0.9980714965862764,207,07/25,0.9974263228793254,256.0,09/12,0.9982605543573309,207,07/25,0.9979074518627123
25,01/25,258.0,09/14,0.9982047502327795,208,07/26,0.9974041511935997,193.0,07/11,0.9971764859707027,208,07/26,0.9970960767513445,271.0,09/27,0.9986201843543738,208,07/26,0.9975463465272653,260.0,09/16,0.9983688190055586,208,07/26,0.9975275784728286,259.0,09/15,0.9988615450702059,208,07/26,0.9980108286929575,208.0,07/26,0.9980104528731295,208,07/26,0.9980104528731295,228.0,08/15,0.9979626136313304,208,07/26,0.9978242118686494,220.0,08/07,0.9976441096614613,208,07/26,0.9976034925189248,260.0,09/16,0.9983688190055586,208,07/26,0.9975275784728286,265.0,09/21,0.9984678425533813,208,07/26,0.9971972869775306,261.0,09/17,0.9980782390463593,208,07/26,0.99741827434427,257.0,09/13,0.9982669750294265,208,07/26,0.9978933602434614
26,01/26,259.0,09/15,0.9982046400175799,209,07/27,0.9973991414451582,194.0,07/12,0.9971776981087814,209,07/27,0.9971034824167017,272.0,09/28,0.9986265989701203,209,07/27,0.9975459878713335,261.0,09/17,0.9983739432793882,209,07/27,0.997530718593722,260.0,09/16,0.9988658347906808,209,07/27,0.9980225145628363,208.0,07/26,0.9980179401791924,209,07/27,0.9980154877024183,230.0,08/17,0.9979558125744201,209,07/27,0.9978177835742748,221.0,08/08,0.9976490753771192,209,07/27,0.9976070087908152,261.0,09/17,0.9983739432793882,209,07/27,0.997530718593722,265.0,09/21,0.9984720357719677,209,07/27,0.9972111051973632,262.0,09/18,0.9980844831369471,209,07/27,0.9974104213915425,259.0,09/15,0.9982733901799511,209,07/27,0.9978798992137942
27,01/27,260.0,09/16,0.9982045074213454,210,07/28,0.9973941966889939,195.0,07/13,0.9971789607694661,210,07/28,0.9971121246320941,272.0,09/28,0.9986325710559715,210,07/28,0.9975457405788127,262.0,09/18,0.9983786158698376,210,07/28,0.9975340541304877,260.0,09/16,0.9988696739965489,210,07/28,0.9980341310255039,208.0,07/26,0.9980249018400333,210,07/28,0.9980172239646076,231.0,08/18,0.9979492369457991,210,07/28,0.9978108554005412,222.0,08/09,0.9976539675543972,210,07/28,0.9976105336404877,262.0,09/18,0.9983786158698376,210,07/28,0.9975340541304877,265.0,09/21,0.9984757316912832,210,07/28,0.9972248088383175,262.0,09/18,0.9980902543885094,210,07/28,0.9974027616662089,260.0,09/16,0.9982797398802552,210,07/28,0.9978670663765253
28,01/28,260.0,09/16,0.9982040473822751,211,07/29,0.9973893127747008,195.0,07/13,0.9971804130400247,211,07/29,0.997121997473267,272.0,09/28,0.998637875512106,211,07/29,0.99754560397789,262.0,09/18,0.998383099295307,211,07/29,0.9975375845117148,261.0,09/17,0.9988732385589887,211,07/29,0.998045679963134,208.0,07/26,0.9980313387007832,211,07/29,0.9980156721887126,232.0,08/19,0.9979427563683497,211,07/29,0.9978034280266055,223.0,08/10,0.997658786704726,211,07/29,0.9976140669522481,262.0,09/18,0.998383099295307,211,07/29,0.9975375845117148,265.0,09/21,0.9984789292893046,211,07/29,0.9972383971293393,263.0,09/19,0.9980953752545451,211,07/29,0.9973952927933446,260.0,09/16,0.9982855588583279,211,07/29,0.9978548593294653
29,01/29,260.0,09/16,0.998201564575499,212,07/30,0.9973844861183847,196.0,07/14,0.9971819221054721,212,07/30,0.9971330496624825,272.0,09/28,0.998642512296166,212,07/30,0.9975455771474989,263.0,09/19,0.9983871869004863,212,07/30,0.9975413077392494,261.0,09/17,0.9988763726619232,212,07/30,0.9980571630964923,208.0,07/26,0.9980372515567829,212,07/30,0.9980108543421995,233.0,08/20,0.9979360041990305,212,07/30,0.9977955054586626,224.0,08/11,0.9976635333498158,212,07/30,0.9976176077634672,263.0,09/19,0.9983871869004863,212,07/30,0.9975413077392494,266.0,09/22,0.9984818112682874,212,07/30,0.9972518694375894,263.0,09/19,0.9981001838858266,212,07/30,0.9973880121341335,261.0,09/17,0.9982910278182634,212,07/30,0.99784326982012
